,time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,associatedCMEstartTime,note,associatedCMELink,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
14,2024-07-24T12:42Z,12.0,60.0,30.0,701.0,C,True,2024-07-24T08:23:00-CME-001,2024-07-24T08:23Z,"Measurement of the wider, faint, faster shock feature ahead of the leading edge of the CME. This measurement using STEREO A COR2 imagery only due to lack of available SOHO imagery, and the longitude is based on the approximate source location.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32154/-1,M2M_CATALOG,SH,0,SWPC_CAT,running difference,,,11.1,2024-07-24T12:52Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32157/-1
15,2024-07-24T22:26Z,8.0,70.0,25.0,693.0,C,True,2024-07-24T17:36:00-CME-001,2024-07-24T17:36Z,Measurement based on the source location and best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32172/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,8.8,2024-07-24T21:03Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32173/-1
16,2024-07-24T23:35Z,-5.0,75.0,33.0,696.0,C,True,2024-07-24T18:36:00-CME-001,2024-07-24T18:36Z,Measurement based on the approximate source location and best fit between SOHO LASCO C3 and STEREO A COR2 coronagraph imagery.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32174/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,10.4,2024-07-24T21:23Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32175/-1
17,2024-07-25T08:36Z,-9.0,-87.0,29.0,335.0,S,True,2024-07-24T22:24:00-CME-001,2024-07-24T22:24Z,Parameters based on best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery. The northern part of the front that sticks out ahead of a smoother front closer to the bulk of the CME was excluded from the measurement due to fitting constraints.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32179/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,6.5,2024-07-25T11:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32182/-1
18,2024-07-25T03:50Z,4.0,-172.0,45.0,933.0,C,True,2024-07-25T00:24:00-CME-001,2024-07-25T00:24Z,Parameters based on the best fit of the bulk of the halo. Fainter portions of the wider halo visible to the south/southeast were excluded from this measurement. Different portions of the CME were analyzed to confirm far sided parameters.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32191/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,16.1,2024-07-25T18:16Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32192/-1
19,2024-07-25T08:52Z,9.0,-61.0,18.0,568.0,C,True,2024-07-25T02:48:00-CME-001,2024-07-25T02:48Z,Measurement based on best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in SWPC_CAT. The CME may deflect in the field of view from the source location.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32195/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,11.5,2024-07-25T18:50Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32196/-1
20,2024-07-25T12:03Z,-28.0,155.0,20.0,407.0,S,True,2024-07-25T04:36:00-CME-001,2024-07-25T04:36Z,Measurement based on best fit between SOHO LASCO C2/C3 and STEREO A COR2 in SWPC_CAT.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32185/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,8.6,2024-07-25T17:19Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32186/-1
21,2024-07-25T20:00Z,-30.0,156.0,15.0,355.0,S,True,2024-07-25T11:12:00-CME-001,2024-07-25T11:12Z,Measurement based on best fit between SOHO LASCO C2/C3 and STEREO A COR2 imagery in SWPC_CAT.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32187/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,10.7,2024-07-25T17:24Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32188/-1
22,2024-07-25T23:56Z,2.0,85.0,27.0,456.0,S,True,2024-07-25T16:00:00-CME-001,2024-07-25T16:00Z,"Measurement only using SOHO C2/C3 due to a STEREO COR2A data gap, but high confidence in the source of W85 based on SDO imagery and visual fit in swpc_cat.",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32200/-1,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,9.7,2024-07-26T01:09Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32201/-1
23,2024-07-26T07:26Z,-4.0,99.0,19.0,337.0,S,True,2024-07-25T21:12:00-CME-001,2024-07-25T21:12Z,Measurement based on the approx. source location and best fit between C2/C3 and COR2A. This CME was visible for only a few frames in C3 and COR2A before becoming diffuse.,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CME/32208/-1,M2M_CATALOG,LE,1,SWPC_CAT,running difference,,,8.0,2024-07-26T17:19Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/32209/-1
